Date,Return
2025-01-01,0.0211809375
2025-01-02,0.0100497295
2025-01-03,-0.0233302095
2025-01-04,-0.0013660315
2025-01-05,0.0072174327
2025-01-06,0.0055278458
2025-01-07,-0.0119223282
2025-01-08,-0.0086751920
2025-01-09,0.0035470609
2025-01-10,-0.0143874592
2025-01-11,-0.0021024206
2025-01-12,-0.0199630608
2025-01-13,0.0005028063
2025-01-14,-0.0155479186
2025-01-15,0.0014467923
2025-01-16,0.0169290363
2025-01-17,0.0173684575
2025-01-18,0.0145703079
2025-01-19,-0.0205430208
2025-01-20,0.0072550508
2025-01-21,-0.0067697613
2025-01-22,-0.0162193312
2025-01-23,0.0026590983
2025-01-24,0.0092504537
2025-01-25,0.0278040195
2025-01-26,-0.0030772670
2025-01-27,0.0166727265
2025-01-28,-0.0446784256
2025-02-01,-0.0043642342
2025-02-02,-0.0004154568
2025-02-03,-0.0078422450
2025-02-04,0.0133168058
2025-02-05,-0.0030712815
2025-02-06,0.0132083506
2025-02-07,0.0137619468
2025-02-08,-0.0127165765
2025-02-09,-0.0019743890
2025-02-10,-0.0008557107
2025-02-11,-0.0023770015
2025-02-12,-0.0106642388
2025-02-13,-0.0102878591
2025-02-14,0.0060832426
2025-02-15,-0.0117017722
2025-02-16,-0.0068308366
2025-02-17,0.0110094329
2025-02-18,0.0099264080
2025-02-19,0.0004149861
2025-02-20,-0.0158484002
2025-02-21,-0.0263148994
2025-02-22,0.0019071329
2025-02-23,-0.0002798531
2025-02-24,0.0129060953
2025-02-25,0.0126608960
2025-02-26,-0.0057280476
2025-02-27,-0.0023034245
2025-02-28,0.0000931592
2025-03-01,0.0014051992
2025-03-02,0.0066262208
2025-03-03,0.0361291214
2025-03-04,0.0060668265
2025-03-05,0.0046298931
2025-03-06,-0.0032438245
2025-03-07,-0.0093223434
2025-03-08,-0.0089990900
2025-03-09,-0.0081982781
2025-03-10,0.0013704205
2025-03-11,0.0131001252
2025-03-12,-0.0106666824
2025-03-13,-0.0126153630
2025-03-14,0.0040225256
2025-03-15,0.0324132911
2025-03-16,-0.0147960380
2025-03-17,-0.0143448100
2025-03-18,-0.0039473572
2025-03-19,-0.0045710302
2025-03-20,-0.0086092477
2025-03-21,0.0047612823
2025-03-22,-0.0130796834
2025-03-23,-0.0243113709
2025-03-24,0.0036965660
2025-03-25,-0.0087476443
2025-03-26,0.0044911613
2025-03-27,0.0000284352
2025-03-28,0.0034917369
2025-04-01,-0.0086428580
2025-04-02,-0.0130224374
2025-04-03,-0.0136987315
2025-04-04,0.0079755964
2025-04-05,-0.0266133688
2025-04-06,0.0021817672
2025-04-07,-0.0004783513
2025-04-08,0.0142079833
2025-04-09,-0.0219917804
2025-04-10,-0.0011877959
2025-04-11,0.0058603827
2025-04-12,-0.0139253259
2025-04-13,0.0193069920
2025-04-14,-0.0120593660
2025-04-15,-0.0104832386
2025-04-16,0.0248481061
2025-04-17,0.0153539758
2025-04-18,0.0110329878
2025-04-19,0.0035573375
2025-04-20,-0.0136901670
2025-04-21,-0.0293569001
2025-04-22,0.0094683848
2025-04-23,0.0229834805
2025-04-24,-0.0043111880
2025-04-25,-0.0039373245
2025-04-26,0.0009715857
2025-04-27,-0.0010558459
2025-04-28,0.0144213655
2025-05-01,0.0167501488
2025-05-02,0.0117630215
2025-05-03,-0.0107262391
2025-05-04,0.0073330467
2025-05-05,0.0008945780
2025-05-06,0.0004218599
2025-05-07,-0.0239407726
2025-05-08,-0.0131091969
2025-05-09,0.0188844620
2025-05-10,0.0110305842
2025-05-11,0.0006271305
2025-05-12,0.0171161074
2025-05-13,0.0007500403
2025-05-14,-0.0296312490
2025-05-15,-0.0079548040
2025-05-16,-0.0144587626
2025-05-17,0.0062625599
2025-05-18,0.0089986799
2025-05-19,-0.0174219685
2025-05-20,-0.0098495593
2025-05-21,0.0136806873
2025-05-22,-0.0039211024
2025-05-23,-0.0007915017
2025-05-24,-0.0059484379
2025-05-25,0.0031049712
2025-05-26,0.0161485287
2025-05-27,0.0240812402
2025-05-28,-0.0059542804
2025-06-01,-0.0046381241
2025-06-02,0.0002504983
2025-06-03,-0.0133415395
2025-06-04,-0.0240668739
2025-06-05,0.0059571292
2025-06-06,-0.0517199758
2025-06-07,-0.0038626909
2025-06-08,0.0120096857
2025-06-09,0.0055816797
2025-06-10,-0.0131849870
2025-06-11,0.0010654582
2025-06-12,0.0023121132
2025-06-13,0.0201213250
2025-06-14,0.0159237337
2025-06-15,0.0109069020
2025-06-16,0.0039145681
2025-06-17,-0.0120372615
2025-06-18,0.0167706431
2025-06-19,0.0145534185
2025-06-20,0.0027137761
2025-06-21,-0.0043921377
2025-06-22,0.0094151221
2025-06-23,-0.0024069891
2025-06-24,0.0058209288
2025-06-25,0.0152231391
2025-06-26,-0.0045420444
2025-06-27,0.0027474228
2025-06-28,-0.0061281165
2025-07-01,-0.0122982255
2025-07-02,-0.0011728579
2025-07-03,-0.0079732058
2025-07-04,0.0142745132
2025-07-05,-0.0015782335
2025-07-06,-0.0037030206
2025-07-07,-0.0123573290
2025-07-08,0.0050861871
2025-07-09,0.0036156131
2025-07-10,-0.0013296949
2025-07-11,-0.0216324370
2025-07-12,-0.0059659680
2025-07-13,-0.0188031357
2025-07-14,0.0063974730
2025-07-15,0.0075220144
2025-07-16,0.0179135728
2025-07-17,0.0049404965
2025-07-18,-0.0039825500
2025-07-19,-0.0202818811
2025-07-20,-0.0035367357
2025-07-21,-0.0294892271
2025-07-22,-0.0027768043
2025-07-23,0.0127545871
2025-07-24,0.0199737529
2025-07-25,-0.0093312214
2025-07-26,0.0084533086
2025-07-27,-0.0037667142
2025-07-28,0.0028965682
2025-08-01,-0.0033270992
2025-08-02,0.0107709648
2025-08-03,-0.0007879193
2025-08-04,0.0144298799
2025-08-05,0.0027502097
2025-08-06,-0.0118167539
2025-08-07,-0.0100365238
2025-08-08,0.0046952010
2025-08-09,-0.0056319124
2025-08-10,0.0010830906
2025-08-11,0.0065828263
2025-08-12,-0.0201084020
2025-08-13,0.0098030976
2025-08-14,-0.0209047263
2025-08-15,0.0038803791
2025-08-16,0.0299404325
2025-08-17,0.0128981303
2025-08-18,-0.0115420217
2025-08-19,-0.0171770938
2025-08-20,0.0118667205
2025-08-21,0.0108626713
2025-08-22,-0.0140974391
2025-08-23,0.0112467201
2025-08-24,-0.0022980572
2025-08-25,0.0089254720
2025-08-26,0.0132480533
2025-08-27,-0.0130061035
2025-08-28,-0.0061500698
2025-09-01,0.0150943238
2025-09-02,0.0125086129
2025-09-03,-0.0142025970
2025-09-04,-0.0049402988
2025-09-05,0.0026221471
2025-09-06,0.0101781459
2025-09-07,-0.0013347398
2025-09-08,0.0155873085
2025-09-09,0.0154912895
2025-09-10,0.0059883897
2025-09-11,0.0074619863
2025-09-12,-0.0016576803
2025-09-13,-0.0076939325
2025-09-14,-0.0181589604
2025-09-15,-0.0009283645
2025-09-16,-0.0071713824
