maturity,rate
0.083,0.04984
0.167,0.05283
0.250,0.05549
0.333,0.05777
0.417,0.05961
0.500,0.06102
0.583,0.06216
0.667,0.06314
0.750,0.06403
0.833,0.06488
0.917,0.06568
1.000,0.06644
1.083,0.06717
1.167,0.06786
1.250,0.06852
1.333,0.06913
1.417,0.06969
1.500,0.07020
1.750,0.07134
2.000,0.07205
2.500,0.07339
3.000,0.07500
4.000,0.07710
5.000,0.07860
6.000,0.08011
7.000,0.08114
8.000,0.08194
9.000,0.08274
10.000,0.08355
11.000,0.08434
12.000,0.08512
13.000,0.08588
14.000,0.08662
15.000,0.08731
16.000,0.08794
17.000,0.08851
18.000,0.08900
19.000,0.08939
20.000,0.08967
21.000,0.08980
22.000,0.08976
23.000,0.08954
24.000,0.08910
25.000,0.08843
26.000,0.08748
27.000,0.08626
28.000,0.08474
29.000,0.08291
