Date,U,V
2026-01-01,0.040000,0.080000
2026-01-02,0.090000,0.150000
2026-01-03,0.140000,0.120000
2026-01-04,0.200000,0.250000
2026-01-05,0.250000,0.310000
2026-01-06,0.310000,0.290000
2026-01-07,0.360000,0.430000
2026-01-08,0.420000,0.480000
2026-01-09,0.470000,0.440000
2026-01-10,0.530000,0.590000
2026-01-11,0.580000,0.630000
2026-01-12,0.640000,0.600000
2026-01-13,0.690000,0.750000
2026-01-14,0.740000,0.790000
2026-01-15,0.790000,0.760000
2026-01-16,0.840000,0.880000
2026-01-17,0.890000,0.910000
2026-01-18,0.940000,0.960000
