Date,Return
2025-01-01,0.6661573969
2025-01-02,0.5296686058
2025-01-03,1.3282865773
2025-01-04,0.6662360873
2025-01-05,0.1756166429
2025-01-06,0.4378051930
2025-01-07,0.6501679577
2025-01-08,0.5848044890
2025-01-09,-0.8557957947
2025-01-10,0.8643154540
2025-01-11,0.9408117747
2025-01-12,-0.1505068646
2025-01-13,0.1721207683
2025-01-14,0.2298901644
2025-01-15,-0.0290967500
2025-01-16,0.7442950730
2025-01-17,1.8487716853
2025-01-18,1.0678932970
2025-01-19,1.1350818970
2025-01-20,1.5277328116
2025-01-21,0.8485685969
2025-01-22,0.7874993513
2025-01-23,0.7227069110
2025-01-24,1.2396232737
2025-01-25,0.0634333061
2025-01-26,0.3238979486
2025-01-27,0.1697920829
2025-01-28,0.6722145570
2025-01-29,0.2409889173
2025-01-30,0.5837234476
2025-01-31,1.1667342415
2025-02-01,1.1009051471
2025-02-02,1.1348495515
2025-02-03,0.2587396166
2025-02-04,0.2651598399
2025-02-05,0.4137254469
2025-02-06,0.0227120192
2025-02-07,0.2523692090
2025-02-08,0.7841470864
2025-02-09,1.0275539474
2025-02-10,0.6852981954
2025-02-11,0.4330651572
2025-02-12,0.3737305355
2025-02-13,1.4168212147
2025-02-14,1.7884661467
2025-02-15,0.7900662825
2025-02-16,-0.0229716502
2025-02-17,0.6297828143
2025-02-18,0.5790468950
2025-02-19,0.0431505674
2025-02-20,1.2586698142
2025-02-21,-0.4128211018
2025-02-22,0.4920142486
2025-02-23,-0.2478605359
2025-02-24,0.8159869901
2025-02-25,-0.0394297029
2025-02-26,0.3923166133
2025-02-27,1.5200334919
2025-02-28,0.8902796285
2025-03-01,-0.3293652494
2025-03-02,-0.5494562340
2025-03-03,0.5505516925
2025-03-04,-0.0750849959
2025-03-05,-0.3576321710
2025-03-06,0.7339806770
2025-03-07,0.2111151627
2025-03-08,0.7651183223
2025-03-09,0.3040563618
2025-03-10,-0.0328574468
2025-03-11,-0.0243933203
2025-03-12,0.7282673628
2025-03-13,-0.1182360221
2025-03-14,0.3046042568
2025-03-15,0.7580561787
2025-03-16,1.3911083857
2025-03-17,-0.0474053596
2025-03-18,0.1469646874
2025-03-19,-0.0869940343
2025-03-20,1.6904537316
2025-03-21,0.4581516983
2025-03-22,-0.1193663169
2025-03-23,2.0511622493
2025-03-24,0.1225621511
2025-03-25,2.4555141629
2025-03-26,1.3231071861
2025-03-27,1.1067445786
2025-03-28,2.2135654591
2025-03-29,1.6625937816
2025-03-30,1.0713172413
2025-03-31,1.1340192687
2025-04-01,1.1012280093
2025-04-02,-0.0195736427
2025-04-03,0.4895449727
2025-04-04,0.7779707196
2025-04-05,1.4810437913
2025-04-06,1.2425650526
2025-04-07,2.6634315184
2025-04-08,0.1133599916
2025-04-09,-0.0844979078
2025-04-10,0.4672226873
2025-04-11,1.2442825630
2025-04-12,1.0832750768
2025-04-13,1.3588488922
2025-04-14,-0.1218434672
2025-04-15,0.6166014692
2025-04-16,1.3720811606
2025-04-17,1.1941751149
2025-04-18,1.4299407360
2025-04-19,0.7123413905
2025-04-20,0.3245368240
2025-04-21,1.1522938970
2025-04-22,1.4263774960
2025-04-23,1.5296887907
2025-04-24,-0.9309111033
2025-04-25,0.2709885832
2025-04-26,0.2283051677
2025-04-27,0.8948116687
2025-04-28,1.3424081705
2025-04-29,-0.0666618797
2025-04-30,1.5774370820
2025-05-01,0.9572058626
2025-05-02,-0.6785036709
2025-05-03,0.9115935685
2025-05-04,0.8948068622
2025-05-05,0.8622263416
2025-05-06,0.5609661946
2025-05-07,1.2526608376
2025-05-08,0.0746327941
2025-05-09,0.7275291668
2025-05-10,1.1743216162
2025-05-11,0.4095990870
2025-05-12,-0.3451181760
2025-05-13,0.1618413826
2025-05-14,1.9211487562
2025-05-15,1.4872260840
2025-05-16,0.5164854648
2025-05-17,0.6430040413
2025-05-18,1.4226117867
2025-05-19,0.4328183284
2025-05-20,1.7196716548
2025-05-21,0.6595038880
2025-05-22,0.8539244109
2025-05-23,0.3040752213
2025-05-24,-0.0113941108
2025-05-25,1.7394976230
2025-05-26,0.3247366180
2025-05-27,0.9246305554
2025-05-28,1.6671764209
2025-05-29,0.7273082812
2025-05-30,0.5302621057
2025-05-31,0.8337828130
2025-06-01,1.2940395463
2025-06-02,-0.6603763547
2025-06-03,0.1906481176
2025-06-04,1.0381272435
2025-06-05,-0.0887784202
2025-06-06,1.1172460288
2025-06-07,0.6824677804
2025-06-08,1.1836956909
2025-06-09,-0.1666836808
2025-06-10,0.1961026085
2025-06-11,-0.5285090035
2025-06-12,1.3252515241
2025-06-13,0.9873911763
2025-06-14,1.4387017033
2025-06-15,0.6256977753
2025-06-16,0.2625873479
2025-06-17,0.7549795757
2025-06-18,0.7490538786
2025-06-19,1.4523916016
2025-06-20,0.6271290855
2025-06-21,0.8559799397
2025-06-22,2.1565779255
2025-06-23,-0.1827249165
2025-06-24,1.1666077727
2025-06-25,0.8724641652
2025-06-26,0.5735443228
2025-06-27,0.6086036955
2025-06-28,-0.0167732154
2025-06-29,0.3156108801
