Date,Asset1,Asset2,Asset3,Asset4
2020-01-01,0.0013880047,0.0062853060,0.0103666453,0.0038358630
2020-01-02,0.0023640666,0.0062412960,0.0107832498,0.0035890204
2020-01-03,0.0033163873,0.0061681855,0.0111744016,0.0032849841
2020-01-04,0.0042334552,0.0060663326,0.0115391228,0.0029288848
2020-01-05,0.0051041851,0.0059362363,0.0118765019,0.0025267324
2020-01-06,0.0059180517,0.0057785336,0.0121856957,0.0020853135
2020-01-07,0.0066652171,0.0055939972,0.0124659312,0.0016120776
2020-01-08,0.0073366499,0.0053835307,0.0127165081,0.0011150112
2020-01-09,0.0079242338,0.0051481650,0.0129368001,0.0006025029
2020-01-10,0.0084208662,0.0048890531,0.0131262564,0.0000832019
2020-01-11,0.0088205440,0.0046074640,0.0132844037,-0.0004341280
2020-01-12,0.0091184359,0.0043047770,0.0134108465,-0.0009407562
2020-01-13,0.0093109410,0.0039824745,0.0135052689,-0.0014281328
2020-01-14,0.0093957325,0.0036421353,0.0135674348,-0.0018880327
2020-01-15,0.0093717853,0.0032854263,0.0135971889,-0.0023126945
2020-01-16,0.0092393889,0.0029140947,0.0135944568,-0.0026949515
2020-01-17,0.0090001437,0.0025299592,0.0135592454,-0.0030283527
2020-01-18,0.0086569416,0.0021349015,0.0134916425,-0.0033072716
2020-01-19,0.0082139313,0.0017308563,0.0133918173,-0.0035270009
2020-01-20,0.0076764676,0.0013198029,0.0132600192,-0.0036838327
2020-01-21,0.0070510475,0.0009037544,0.0130965776,-0.0037751200
2020-01-22,0.0063452308,0.0004847488,0.0129019011,-0.0037993224
2020-01-23,0.0055675493,0.0000648382,0.0126764763,-0.0037560313
2020-01-24,0.0047274035,-0.0003539205,0.0124208665,-0.0036459774
2020-01-25,0.0038349489,-0.0007694763,0.0121357108,-0.0034710180
2020-01-26,0.0029009733,-0.0011797939,0.0118217218,-0.0032341057
2020-01-27,0.0019367665,-0.0015828634,0.0114796843,-0.0029392387
2020-01-28,0.0009539835,-0.0019767106,0.0111104532,-0.0025913933
2020-01-29,-0.0000354960,-0.0023594065,0.0107149516,-0.0021964397
2020-01-30,-0.0010197112,-0.0027290766,0.0102941678,-0.0017610433
2020-01-31,-0.0019867653,-0.0030839103,0.0098491536,-0.0012925519
2020-02-01,-0.0029249686,-0.0034221697,0.0093810213,-0.0007988719
2020-02-02,-0.0038229804,-0.0037421978,0.0088909411,-0.0002883347
2020-02-03,-0.0046699456,-0.0040424273,0.0083801379,0.0002304438
2020-02-04,-0.0054556262,-0.0043213875,0.0078498883,0.0007487084
2020-02-05,-0.0061705252,-0.0045777122,0.0073015178,0.0012577130
2020-02-06,-0.0068060010,-0.0048101459,0.0067363970,0.0017488673
2020-02-07,-0.0073543721,-0.0050175501,0.0061559384,0.0022138827
2020-02-08,-0.0078090098,-0.0051989089,0.0055615929,0.0026449113
2020-02-09,-0.0081644187,-0.0053533340,0.0049548460,0.0030346791
