Date,y,xreg1
2024-01-01,-0.7136434160,0.1209998958
2024-01-02,0.8869326944,0.1219991668
2024-01-03,-0.2606711093,0.1229971883
2024-01-04,0.8173409278,0.1239933367
2024-01-05,1.6959145185,0.1249869893
2024-01-06,0.1379243045,0.1259775253
2024-01-07,-0.9505175410,0.1269643255
2024-01-08,-1.8813616751,0.1279467732
2024-01-09,1.0068250702,0.1289242545
2024-01-10,-1.4935274930,0.1298961584
2024-01-11,0.9236599391,0.1308618775
2024-01-12,0.6531833052,0.1318208083
2024-01-13,-0.9030517480,0.1327723514
2024-01-14,-0.2041261849,0.1337159123
2024-01-15,-0.9837402781,0.1346509012
2024-01-16,0.3937431552,0.1355767337
2024-01-17,1.5711808060,0.1364928313
2024-01-18,0.3896641898,0.1373986214
2024-01-19,1.3066192506,0.1382935379
2024-01-20,1.9496656728,0.1391770215
2024-01-21,-0.5625304248,0.1400485202
2024-01-22,0.4831152863,0.1409074892
2024-01-23,-0.8246587447,0.1417533916
2024-01-24,1.8187979755,0.1425856989
2024-01-25,0.3090789929,0.1434038909
2024-01-26,1.3192627604,0.1442074562
2024-01-27,-0.5827373515,0.1449958927
2024-01-28,-0.1270364037,0.1457687075
2024-01-29,-1.5088539065,0.1465254177
2024-01-30,-0.5031135015,0.1472655504
2024-01-31,0.6389842663,0.1479886430
2024-02-01,0.9047175841,0.1486942436
2024-02-02,1.3965696083,0.1493819113
2024-02-03,-1.3540757780,0.1500512162
2024-02-04,1.1225638618,0.1507017401
2024-02-05,1.9393888951,0.1513330764
2024-02-06,1.6155393023,0.1519448305
2024-02-07,0.1017834687,0.1525366202
2024-02-08,1.4889925870,0.1531080755
2024-02-09,0.0668748515,0.1536588394
2024-02-10,1.2580984232,0.1541885676
2024-02-11,-0.6405078114,0.1546969290
2024-02-12,-0.3442517281,0.1551836060
2024-02-13,-0.4749354296,0.1556482944
2024-02-14,-2.2300206002,0.1560907038
2024-02-15,0.7125127980,0.1565105576
2024-02-16,-0.2692810112,0.1569075935
2024-02-17,-1.8253438584,0.1572815634
2024-02-18,-0.3279874270,0.1576322336
2024-02-19,-0.6982114827,0.1579593848
2024-02-20,1.5606040571,0.1582628126
2024-02-21,0.0163469959,0.1585423274
2024-02-22,0.6645304878,0.1587977545
2024-02-23,-1.7641930011,0.1590289343
2024-02-24,0.4258201450,0.1592357223
2024-02-25,-3.0520078358,0.1594179892
