Number;Name;Business;Country;EAD;LGD;PD;Default;A;B;C
1;Name  1;C;C;364942,6056;0,974349474;0,337867086;Poisson;0;0;1
2;Name  2;A;E;152655,3053;0,365311569;0,27242424;Poisson;1;0;0
3;Name  3;C;B;50036,01206;0,909595216;0,31668082;Poisson;0;0;1
4;Name  4;A;D;358122,6817;0,533788795;0,30408427;Poisson;1;0;0
5;Name  5;A;A;290868,3308;0,358988666;0,333424531;Poisson;1;0;0
6;Name  6;A;D;6144,486549;0,282938771;0,299940583;Poisson;1;0;0
7;Name  7;B;E;251473,6185;0,102906185;0,092244749;Poisson;0;1;0
8;Name  8;B;A;841591,4468;0,693618236;0,246929099;Poisson;0;1;0
9;Name  9;B;E;650275,5784;0,352724814;0,347578736;Poisson;0;1;0
10;Name  10;A;E;973882,8855;0,536336404;0,014583519;Poisson;1;0;0
11;Name  11;A;C;115826,4179;0,938724099;0,086254403;Poisson;1;0;0
12;Name  12;A;C;852720,054;0,57822363;0,075730085;Poisson;1;0;0
13;Name  13;C;B;205843,763;0,16730094;0,152738483;Poisson;0;0;1
14;Name  14;B;A;15568,63283;0,619051452;0,01801153;Poisson;0;1;0
15;Name  15;C;B;419191,2577;0,333296416;0,042475761;Poisson;0;0;1
16;Name  16;C;C;37752,22639;0,19707043;0,283916699;Poisson;0;0;1
17;Name  17;C;A;319641,8723;0,174028081;0,165420282;Poisson;0;0;1
18;Name  18;A;A;265254,7515;0,858408076;0,285931862;Poisson;1;0;0
19;Name  19;B;C;24710,92825;0,915054542;0,219217472;Poisson;0;1;0
20;Name  20;A;D;58539,37198;0,538909857;0,202880764;Poisson;1;0;0
