Date,Return
2025-01-01,2.0785270587
2025-01-02,-0.0544820175
2025-01-03,-1.0095910093
2025-01-04,0.6243311115
2025-01-05,-0.3210452652
2025-01-06,-0.5313809875
2025-01-07,-0.2306630704
2025-01-08,0.8082892176
2025-01-09,0.4015217059
2025-01-10,-0.4265406332
2025-01-11,0.2263490903
2025-01-12,-0.4014973895
2025-01-13,-0.1080677807
2025-01-14,-0.8588174839
2025-01-15,-0.5533977427
2025-01-16,-0.4728053796
2025-01-17,-0.6901232798
2025-01-18,0.9007297414
2025-01-19,0.0771487907
2025-01-20,-1.0357244955
2025-01-21,-0.7631023933
2025-01-22,-0.2429126809
2025-01-23,0.2357508074
2025-01-24,0.0842978537
2025-01-25,0.7459766119
2025-01-26,-0.6424893243
2025-01-27,1.8973693012
2025-01-28,-0.9290237873
2025-02-01,1.7395496187
2025-02-02,-1.0371933816
2025-02-03,-1.9422557440
2025-02-04,-1.7359117841
2025-02-05,1.0964902260
2025-02-06,-0.2400657565
2025-02-07,1.3663865260
2025-02-08,-0.4445936632
2025-02-09,-2.5211643064
2025-02-10,-1.5237330591
2025-02-11,-3.1185133348
2025-02-12,1.0044077876
2025-02-13,-1.6012119874
2025-02-14,0.2017288236
2025-02-15,0.1210370344
2025-02-16,1.0124875301
2025-02-17,0.6450624872
2025-02-18,0.5183156699
2025-02-19,-2.6300706591
2025-02-20,0.8670494705
2025-02-21,-1.9253598884
2025-02-22,0.4479002353
2025-02-23,1.2227789813
2025-02-24,-1.2987454570
2025-02-25,-0.3388583383
2025-02-26,2.1262593998
2025-02-27,1.2434881963
2025-02-28,-0.5883927709
2025-03-01,-0.1915463756
2025-03-02,0.3379547534
2025-03-03,-2.4317728339
2025-03-04,-0.2967434731
2025-03-05,1.0714102038
2025-03-06,0.3259229788
2025-03-07,0.6530012134
2025-03-08,1.2119728978
2025-03-09,-0.3170302110
2025-03-10,-1.2300091197
2025-03-11,-0.5995141038
2025-03-12,0.1797843865
2025-03-13,-0.2787975916
2025-03-14,-1.8245512388
2025-03-15,-1.2109505000
2025-03-16,-0.0610152584
2025-03-17,-1.4350675323
2025-03-18,-0.4468771408
2025-03-19,-0.3806569155
2025-03-20,-0.6280274734
2025-03-21,-0.0845200310
2025-03-22,-0.3833024842
2025-03-23,0.7278181609
2025-03-24,-1.1103593603
2025-03-25,-0.0326438527
2025-03-26,0.1593997873
2025-03-27,-0.1453246044
2025-03-28,1.2242102267
2025-04-01,0.4828083264
2025-04-02,1.0309052424
2025-04-03,-0.0812842332
2025-04-04,0.5119028480
2025-04-05,0.7489253295
2025-04-06,0.4718694954
2025-04-07,-0.8216245368
2025-04-08,-1.9204622282
2025-04-09,0.7797994410
2025-04-10,-0.2198756240
2025-04-11,-0.0297616754
2025-04-12,0.0243272577
2025-04-13,-1.2455285565
2025-04-14,-0.0158526637
2025-04-15,0.9942385669
2025-04-16,0.9387627172
2025-04-17,0.3035706058
2025-04-18,0.6132284843
2025-04-19,-0.0409242970
2025-04-20,1.0415397880
2025-04-21,1.1572451614
2025-04-22,-1.2414418500
2025-04-23,0.3519170574
2025-04-24,-1.1795943356
2025-04-25,0.7645154575
2025-04-26,-0.3431028320
2025-04-27,-0.2965508849
2025-04-28,-1.2859878910
2025-05-01,1.3292382272
2025-05-02,-1.2341702643
2025-05-03,1.0418417915
2025-05-04,-1.5499179802
2025-05-05,-0.6277193301
2025-05-06,-1.4592599636
2025-05-07,2.3070240956
2025-05-08,0.9742521209
2025-05-09,2.5379361262
2025-05-10,-1.1232363491
2025-05-11,0.9995917489
2025-05-12,0.7538856601
2025-05-13,0.0313378171
2025-05-14,-2.0319607642
2025-05-15,0.1451027899
2025-05-16,1.4392254946
2025-05-17,-1.0908713005
2025-05-18,-1.3485931212
2025-05-19,-2.4823252020
2025-05-20,-0.8282256839
2025-05-21,-0.8891994054
2025-05-22,-2.0173382267
2025-05-23,-0.1875072438
2025-05-24,-1.3652146973
2025-05-25,1.3698148632
2025-05-26,-2.4706849477
2025-05-27,1.5490382820
2025-05-28,1.3209708082
2025-06-01,1.8360398402
2025-06-02,-1.4850414389
2025-06-03,-0.6646619236
2025-06-04,-0.3710098495
2025-06-05,-0.6232248073
2025-06-06,-0.7755396576
2025-06-07,-0.4735246228
2025-06-08,-0.0293234802
2025-06-09,-1.1692773203
2025-06-10,-0.4461515320
2025-06-11,-0.5658246405
2025-06-12,0.7580065143
2025-06-13,-0.6829501703
2025-06-14,-0.7239935950
2025-06-15,-0.7535791714
2025-06-16,-0.7550440723
2025-06-17,1.0970150453
2025-06-18,-1.6034809735
2025-06-19,-0.9405893910
2025-06-20,-0.6745987406
2025-06-21,-0.7792968217
2025-06-22,0.4393700557
2025-06-23,-2.1506337546
2025-06-24,-0.7821391710
2025-06-25,-0.3280304713
2025-06-26,-1.6998130885
2025-06-27,0.9467258199
2025-06-28,-0.2873724660
2025-07-01,-0.5069636765
2025-07-02,0.3853034905
2025-07-03,0.6017632385
2025-07-04,-0.2863246334
2025-07-05,1.5892575574
2025-07-06,-0.5815797842
2025-07-07,0.8445508362
2025-07-08,-0.3988671111
2025-07-09,-0.4752961652
2025-07-10,0.3799773052
2025-07-11,-0.3797954791
2025-07-12,-0.7855938807
2025-07-13,1.2447863091
2025-07-14,0.5923980969
2025-07-15,-0.0069071881
2025-07-16,-0.9888610781
2025-07-17,-1.5638863189
2025-07-18,0.0074130526
2025-07-19,-0.6419827945
2025-07-20,0.5772192650
2025-07-21,-1.0929824528
2025-07-22,0.5846542237
2025-07-23,1.4523400626
2025-07-24,-0.8008537155
2025-07-25,0.6084331999
2025-07-26,-0.5978343836
2025-07-27,0.8262819141
2025-07-28,-0.1132657984
2025-08-01,-0.1905409328
2025-08-02,0.2946957460
2025-08-03,-0.8162943261
2025-08-04,-0.7125768395
2025-08-05,0.2725869182
2025-08-06,-0.0065710512
2025-08-07,1.4524239255
2025-08-08,-0.7676083408
2025-08-09,0.1080614537
2025-08-10,-0.9014155175
2025-08-11,0.3248140038
2025-08-12,-0.5310099295
2025-08-13,1.6231216806
2025-08-14,-0.5626871990
2025-08-15,-0.0478885527
2025-08-16,-1.5248235544
2025-08-17,1.1106480954
2025-08-18,-0.2414488959
2025-08-19,-0.5859340495
2025-08-20,1.9055872049
2025-08-21,-1.0433432689
2025-08-22,-1.4482153534
2025-08-23,-0.1875847142
2025-08-24,0.5487219597
2025-08-25,0.8022634678
2025-08-26,-1.8457181723
2025-08-27,-0.6466106864
2025-08-28,2.0599402650
2025-09-01,0.4489504810
2025-09-02,0.6203882638
2025-09-03,-0.0916328198
2025-09-04,0.4345888117
2025-09-05,0.9546694497
2025-09-06,0.0806254893
2025-09-07,-1.0284440935
2025-09-08,-0.7296292665
2025-09-09,-0.1714578338
2025-09-10,0.0746896054
2025-09-11,-1.3592354551
2025-09-12,0.3105329080
2025-09-13,0.0526923213
2025-09-14,-0.2918805295
2025-09-15,0.3829562723
2025-09-16,0.2255887705
