asset1,asset2,asset3
0.0000000000,0.0000000000,0.0000000000
0.0085547855,0.0067215126,0.0132586164
0.0036461695,0.0004195840,0.0213455554
0.0183479309,0.0026721268,-0.0003478721
-0.0027809548,0.0049388861,0.0062068705
-0.0021548669,-0.0019770236,0.0018139690
0.0001356765,0.0064882043,0.0125399999
0.0057077948,-0.0013276115,0.0122676104
-0.0147460927,-0.0077810135,-0.0108501729
0.0062651001,0.0003097384,-0.0102479526
-0.0015226613,0.0004454498,-0.0128282015
-0.0083105654,-0.0156630681,-0.0077281831
0.0007881336,0.0050836547,0.0138033948
0.0139550718,0.0012734186,0.0016121724
0.0002549129,0.0098430249,0.0032093403
-0.0047202662,-0.0013921075,0.0023503591
0.0058074828,0.0096027727,-0.0094856433
0.0052366570,-0.0036259340,-0.0040600748
0.0046196370,0.0083164308,0.0068889781
-0.0055969769,0.0009117381,0.0051213025
0.0129360117,0.0064627259,0.0064505425
-0.0100998123,-0.0040805136,-0.0048703381
-0.0056412244,-0.0040166635,-0.0001749480
-0.0058190879,-0.0000493702,-0.0011962030
0.0006409673,0.0030539810,0.0134879965
0.0029333568,0.0079948892,0.0091464601
-0.0007816921,-0.0075161835,-0.0026501962
-0.0235499831,-0.0054239815,0.0165602173
0.0032479292,-0.0012089495,0.0185141181
0.0106016896,-0.0064061862,0.0009491860
-0.0004388990,0.0047904517,-0.0005687495
-0.0048707079,-0.0020815117,0.0058711607
0.0093312615,-0.0018924843,0.0023630378
-0.0003905851,-0.0005280142,0.0084431729
0.0183608614,-0.0008043148,0.0058306224
-0.0135460206,-0.0015310266,0.0031086502
0.0061181674,-0.0078360096,-0.0038829504
-0.0108597763,-0.0061185746,0.0043018451
0.0087292355,0.0016462604,0.0065306211
0.0131944826,0.0062838643,0.0025370955
0.0143324894,0.0083366744,-0.0029572374
-0.0135144841,-0.0003293931,-0.0035210962
0.0076402344,-0.0036000883,-0.0134228664
-0.0040923518,-0.0009777348,-0.0043994315
0.0057866650,0.0016563533,0.0201374420
-0.0138992696,0.0002391196,0.0219604796
0.0154829830,0.0024517278,0.0043431155
0.0077605391,0.0027404363,-0.0088322447
-0.0040658406,0.0126750700,-0.0038891954
-0.0052561193,0.0030630083,0.0076880600
0.0136214464,0.0058801592,-0.0087897554
-0.0042095347,0.0022303557,-0.0101808772
0.0024146894,0.0030468068,0.0037245069
-0.0040062163,-0.0051073899,-0.0109113992
0.0097841463,0.0196932607,-0.0049681892
0.0020736419,-0.0016671267,-0.0017569324
-0.0023206236,0.0026543428,-0.0128482041
0.0083525292,0.0076772872,0.0057010427
0.0085813791,0.0145527443,0.0084769200
0.0006319875,0.0081598680,0.0106027689
-0.0065195835,0.0044109780,0.0066755628
