Date,A,B,C
2026-01-01,-0.01000,-0.01600,-0.01800
2026-01-02,0.00000,-0.00800,-0.01200
2026-01-03,0.01000,0.00000,-0.00600
2026-01-04,0.02000,0.00800,0.00000
2026-01-05,-0.02000,0.01600,0.00600
2026-01-06,-0.01000,0.02400,0.01200
2026-01-07,0.00000,-0.02400,0.01800
2026-01-08,0.01000,-0.01600,0.02400
2026-01-09,0.02000,-0.00800,-0.02400
2026-01-10,-0.02000,0.00000,-0.01800
2026-01-11,-0.01000,0.00800,-0.01200
2026-01-12,0.00000,0.01600,-0.00600
2026-01-13,0.01000,0.02400,0.00000
2026-01-14,0.02000,-0.02400,0.00600
2026-01-15,-0.02000,-0.01600,0.01200
2026-01-16,-0.01000,-0.00800,0.01800
2026-01-17,0.00000,0.00000,0.02400
2026-01-18,0.01000,0.00800,-0.02400
2026-01-19,0.02000,0.01600,-0.01800
2026-01-20,-0.02000,0.02400,-0.01200
2026-01-21,-0.01000,-0.02400,-0.00600
2026-01-22,0.00000,-0.01600,0.00000
2026-01-23,0.01000,-0.00800,0.00600
2026-01-24,0.02000,0.00000,0.01200
2026-01-25,-0.02000,0.00800,0.01800
2026-01-26,-0.01000,0.01600,0.02400
2026-01-27,0.00000,0.02400,-0.02400
2026-01-28,0.01000,-0.02400,-0.01800
