Date,x,y
2025-01-01,-0.0432766710,0.1293328859
2025-01-02,0.4455918544,0.0464957632
2025-01-03,0.5368468914,-0.3673019484
2025-01-04,0.3589201781,-0.0442036857
2025-01-05,0.3427513403,0.0175915459
2025-01-06,0.4649279877,0.0423252960
2025-01-07,0.1199071523,0.1990179353
2025-01-08,0.1133256368,-0.0418005283
2025-01-09,0.1840630133,0.0684534710
2025-01-10,0.3600682775,0.0549304924
2025-01-11,0.2761824585,0.0940626231
2025-01-12,0.3191153218,-0.0432654264
2025-01-13,0.6245025091,-0.1235736345
2025-01-14,0.3423746503,-0.0974645307
2025-01-15,0.3118096225,0.0406891082
2025-01-16,0.2039803596,-0.1219771105
2025-01-17,0.1611686381,-0.0309798613
2025-01-18,0.0516211927,0.0769899241
2025-01-19,0.1768053474,0.0532870236
2025-01-20,0.1002175983,0.1348740455
2025-01-21,-0.0965410208,0.0479001335
2025-01-22,0.0674477914,-0.0898929078
2025-01-23,0.1979857766,0.0067085474
2025-01-24,0.2001134663,0.1520710606
2025-01-25,0.0204016717,0.0725399076
2025-01-26,0.2639496369,0.1228947896
2025-01-27,0.0386598867,-0.0675255589
2025-01-28,-0.0105701650,-0.2694700334
2025-01-01,0.1550325154,-0.1116617133
2025-01-02,-0.0874279404,-0.0192820355
2025-01-03,-0.1747754739,-0.0384550634
2025-01-04,-0.0832997154,0.0346002529
2025-01-05,0.3025092677,-0.2562900514
2025-01-06,0.0633757310,-0.0980742285
2025-01-07,0.2314369718,0.0633468692
2025-01-08,0.2235317270,0.1872148961
2025-01-09,0.1317304792,0.2052886941
2025-01-10,0.1960290344,-0.0050520785
2025-01-11,0.0298731275,-0.0292102719
2025-01-12,-0.2320479018,-0.0074879210
2025-01-13,-0.4645204249,-0.0268026767
2025-01-14,-0.3420226085,0.0043512622
2025-01-15,-0.2468098013,-0.1574272943
2025-01-16,-0.1348423009,-0.1904276589
2025-01-17,0.1438879360,-0.0962478831
2025-01-18,0.2390606531,-0.0113215434
2025-01-19,-0.0054104213,-0.1114267750
2025-01-20,0.2443946370,-0.1619902674
2025-01-21,0.0645545820,-0.1027869601
2025-01-22,-0.0307026093,-0.0416776248
2025-01-23,0.1840038973,0.0500295663
2025-01-24,0.0607077439,-0.0606328293
2025-01-25,0.0751137513,-0.1865321633
2025-01-26,-0.0041699855,0.1295962846
2025-01-27,0.1574704500,0.0446407780
2025-01-28,0.0372176395,0.1722736516
2025-01-01,0.0530637102,0.3927983748
2025-01-02,0.1851283759,0.2218817255
2025-01-03,-0.1047764927,0.1210850723
2025-01-04,-0.0172596554,0.0914343638
2025-01-05,0.0252945280,-0.1957631951
2025-01-06,-0.2128829418,-0.2142702225
2025-01-07,-0.1836228721,-0.0423655225
2025-01-08,-0.1266239309,-0.0510923921
2025-01-09,0.0085891797,-0.0883953681
2025-01-10,0.3514455501,0.0683015291
2025-01-11,0.1587534765,0.0555137899
2025-01-12,0.2080265089,-0.0355804855
2025-01-13,0.1420157750,-0.0116640477
2025-01-14,0.2357368733,0.0945076826
2025-01-15,0.1499930557,-0.0235077775
2025-01-16,0.1496601792,-0.1895058652
2025-01-17,-0.0378129158,-0.3587968546
2025-01-18,0.0360849049,-0.1650953231
2025-01-19,0.3646876879,0.0007935710
